settlement_date,highest_yes_strike
2025-01-16,99750
2025-01-17,103750
2025-01-19,103000
2025-01-20,101750
2025-01-21,106000
2025-01-23,102250
2025-01-24,104250
2025-01-27,100500
2025-01-28,99750
2025-01-29,103250
2025-01-30,104500
2025-01-31,101500
2025-02-03,101000
2025-02-11,96000
2025-02-12,97500
2025-02-13,96000
2025-02-14,97250
2025-02-17,96250
2025-02-18,94500
2025-02-19,96000
2025-02-21,95000
2025-02-28,83750
2025-03-01,85750
2025-03-03,84750
2025-03-04,87250
2025-03-05,90000
2025-03-07,86250
2025-03-08,85750
2025-03-10,79250
2025-03-11,82750
2025-03-13,80000
2025-03-14,83750
2025-03-15,84000
2025-03-16,82750
2025-03-18,82000
2025-03-19,85250
2025-03-24,87750
2025-03-25,87750
2025-03-26,87000
2025-03-27,87250
2025-03-28,83750
2025-03-29,82000
2025-03-30,82250
2025-03-31,82250
2025-04-01,85250
2025-04-02,85550
2025-04-03,82000
2025-04-04,84000
2025-04-05,82750
2025-04-06,78750
2025-04-07,78750
2025-04-08,77000
2026-03-13,71000
2026-03-14,70750
2026-03-15,71500
